10th(%),12th(%),Diploma Marks,Overall CGPA,Overall %,Current backlogs,Score/800,Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamentals,Coding,Written English,COMPANY PLACED
92,75,0,7.3,65.5,0,445,40,27,40,53,0,20,0,32,None
89.3,92,0,8.4,76.5,0,493,47,40,33,67,0,27,0,52,None
79.04,82.8,0,7.61,68.6,0,332,24,47,13,13,0,27,0,16,SSI People/Intellipaat Software Solutions
96,87,0,8.3,75.5,0,506,49,53,27,67,0,33,0,58,SSI People
79.54,74.16,0,6.66,59.1,0,429,38,40,27,47,0,40,0,0,Skolar
95.52,78.66,0,8.2,74.5,0,482,49,53,47,47,0,60,0,0,None
86.88,64.33,0,7,62.5,0,434,40,67,13,40,0,20,0,0,Skolar 
77.9,84,0,,77.5,0,466,44,53,33,47,0,33,0,43,None
80.83,82.8,0,8.4,76.5,0,459,42,60,53,13,0,40,0,38,None
95,88,0,8.3,75.5,0,493,44,73,20,40,0,73,0,71,Intellipaat Software Solutions/Healthians/SEG Automotive
89.4,74.8,0,7.28,65.3,0,326,33,40,33,27,0,20,0,37,None
69,59,0,6.49,57.4,2,247,29,40,27,20,0,0,0,0,Skolar
90.4,76,0,7.6,68.5,0,470,53,53,40,67,0,0,0,0,SSI People/Infosys Ltd./
95,89,0,8.5,77.5,0,502,49,60,40,47,0,27,0,54,None
80.48,71,0,7.92,71.7,0,486,49,40,33,73,0,47,0,53,None
95.04,91.83,0,8.5,77.5,0,491,47,67,13,60,0,40,0,33,None
67,67,0,7,62.5,0,451,42,47,27,53,0,60,0,44,Skolar/Verzeo/Pinclick
92.3,84.5,0,8.05,73.05,0,415,31,33,20,40,35,33,0,69,None
81,68,0,7.81,70.66,0,450,38,47,40,27,55,27,0,80,Verzeo
88,87.8,0,8.02,72.75,0,436,36,47,20,40,0,13,0,0,None
70,60,0,7.47,67.27,0,488,51,87,27,40,0,40,0,49,Seventh Sense
84.96,87.16,0,7.8,70.57,0,562,71,80,47,87,45,27,0,63,"Infosys Ltd./Seventh Sense/SSI People/BankBazaar,com/CSS Corp"
93,91.5,0,8.31,75.66,0,531,56,33,53,80,40,53,0,53,SSI People
92,79,0,7.14,63.91,0,523,60,67,33,80,30,40,0,39,Elcamino Software Pvt Ltd
76.64,79.84,0,6.89,61.42,0,471,44,33,40,60,25,27,0,57,none
78.24,66,0,7.1,63.51,0,527,58,53,47,73,50,60,0,56,none
83.6,72.5,0,7.46,67.19,0,467,42,47,53,27,25,47,0,50,none
93.12,85.16,0,7.2,64.51,0,608,84,80,87,87,45,47,0.12,85,Infosys Ltd./SSI
79,69,0,5.58,48.32,1,499,53,53,47,60,0,47,0,65,None
96,78.16,0,7.78,70.4,0,500,47,53,27,60,0,60,0,71,Rupeek(Cocubes)
74.5,58.5,0,5.8,50.53,1,334,22,40,70,20,0,53,0,0,None
93.7,83,0,8.36,76.11,0,509,49,40,47,60,0,67,0,58,BankBazaar.com
91.17,91.16,0,8.76,80.12,0,532,56,53,33,80,0,80,0,51,None
68.16,68.16,0,8.3,75.52,0,334,24,33,20,20,0,20,0,26,Elcamino Software Pvt Ltd
86,83,0,8.43,76.83,0,496,47,40,33,67,15,47,0.1,53,PlanetSpark/Rupeek(Cocubes)
79,86,0,8.21,74.65,0,524,58,67,60,47,25,40,0,53,BankBazaar.com
90.08,94,0,8.53,77.83,0,563,76,93,60,73,55,47,0,39,None
63,69.8,0,7.57,68.21,0,435,38,40,40,33,50,27,0,41,Elcamino Software Pvt Ltd
66.7,76.8,0,7.53,67.88,0,334,18,53,0,0,0,7,0,25,None
88.64,83.33,0,7.18,64.4,0,497,51,47,33,73,20,33,0,44,Phable Care
85.12,84.16,0,7.83,70.82,0,452,38,53,33,27,20,40,0,39,None
89.44,86.33,0,7.24,65,1,530,56,67,33,67,40,33,0,67,None
87.84,66.6,0,7.18,64.34,0,468,42,27,33,67,30,67,0,54,BankBazaar.com
82.24,84.5,0,7.75,70.09,0,503,47,47,27,67,15,60,0,69,Elcamino Software Pvt Ltd
89.6,88,0,8.61,78.68,0,533,58,53,53,67,40,60,0,39,None
87,83.2,0,6.85,61.01,0,496,51,47,40,67,0,53,0,33,None
80.2,84.3,0,6.5,57.5,0,464,42,40,33,53,0,47,0,69,None
80.08,68,0,7.34,65.91,0,370,31,33,20,40,0,40,0,58,None
76.8,67.8,0,6.41,56.66,0,450,42,40,40,47,45,60,0,0,None
87.52,84.67,0,6.75,60.02,0,490,47,40,47,53,40,33,0,66,Rupeek(Cocubes)
83.35,73.25,0,7.12,63.7,0,434,36,53,13,40,0,33,0,71,Maniranjan Diesel Sales & Service Pvt Ltd.
89.28,76.33,0,7.12,63.7,0,494,49,47,40,60,45,60,0,46,TCS Ltd.
80.8,78.33,0,6.8,60.5,1,518,53,73,40,47,45,73,0,0.75,TCS Ltd.
90.08,79,0,7.5,67.5,0,431,38,53,27,33,20,0,0,0,Skolar/Glow Touch Technologies
84,72,0,7.55,68,0,502,62,80,33,73,0,27,0,36,Maniranjan Diesel Sales & Service Pvt Ltd.
92,54,0,7.4,66.5,0,464,44,67,33,33,0,33,0,57,SSI People/Intellipaat Software Solutions/Skolar
85,80,0,8.17,74.2,0,544,60,73,27,80,35,67,0,62,SSI People
9.4,86.5,0,8.34,75.9,0,513,51,60,33,60,20,60,0,55,TCS LtD./Infosys Ltd.
70,70,0,6.5,57.5,1,473,49,53,33,60,35,33,0,42,Maniranjan Diesel Sales & Service Pvt Ltd.
83.22,70.33,0,7.3,65.5,2,473,47,47,27,67,5,40,0,46,Elcamino Software
75,,60.08,6.26,55.1,2,308,16,13,20,13,0,0,0,0,None
92,75,5.93,0.786667,0.37,2,490,51,47,40,67,0,47,0,37,None
61.44,54.16,0,0.9333333,1.83,3,377,24,40,0,33,35,13,0,81,None
69.28,57.16,0,5.0597778,43.1,2,448,33,20,47,33,35,53,0,31,None
70.06,60,0,5.523,47.73,0,435,40,40,27,53,0,53,0,17,None
70,60,0,5.8345556,50.85,0,431,38,53,20,40,0,40,0,55,None
84.6,67,0,3.8985556,41.49,0,367,31,67,20,7,0,40,0,19,None
80.64,77.32,0,7.9496667,72,0,433,36,53,0,53,30,27,0,37,Elamino Software Pvt Ltd.
76,70,0,6.7531111,60.03,0,285,29,47,0,40,0,40,0,0,None
73,67,0,6.2521111,55.02,0,470,44,33,33,67,25,40,0,67,None
63,58,0,6.4001111,56.5,2,416,36,47,27,33,30,33,0,51,None
86.56,74.83,0,8.1386667,73.89,0,458,40,20,40,60,40,33,0,44,None
74,82,0,5.701444,49.51444,1,498,51,73,20,60,0,47,0,59,None
82,75,0,7.193556,64.43556,0,451,40,47,7,67,0,20,0,18,None
84.45,70,0,5.409333333,46.59333333,0,480,49,53,33,60,0,53,0,31,None
82.56,77.67,0,6.974444444,62.24444444,0,489,47,67,40,33,0,67,0,56,None
83,77.7,0,7.783,70.33,0,532,62,53,67,67,20,60,0,52,Volvo Group India Pvt. Ltd./SSI People
72,80.5,0,7.454333333,67.04333333,0,461,40,47,20,53,30,47,0,46,None
92,70,0,6.644666667,58.94666667,0,461,33,40,13,47,30,60,0,28,None
86.24,68.16,0,7.887888889,71.37888889,0,487,53,40,40,80,0,0,0,0,None
80,70,0,6.835,60.85,0,324,33,20,33,47,0,20,0,44,Elcamino Software Pvt Ltd/JCB
81,65,0,6.763333333,60.13333333,0,350,20,33,13,13,0,27,0,0,None
59,65,65,4.954555556,42.04555556,0,447,42,53,47,27,25,33,0,44,None
47,59,59,4.179444444,34.29444444,1,403,33,40,20,40,0,60,0,23,None
59.9,0,62,5.044444444,42.94444444,0,297,27,27,40,13,25,7,0,15,None
69.6,0,60.65,4.706777778,39.56777778,0,422,38,33,40,40,40,33,0,0,None
